b2-name,b2-id-1,b2-id-2,b2-id-3,b2-id-4,b2-id-5,b2-id-6,b2-id-7,b2-id-8
Genocide Blast,341,,,,,,,
Giga Meteor Storm,749,,,,,,,
Gigant Rock Throw,358,,,,,,,
Gigantic Blaze,407,676,,,,,,
Gigantic Bomber,500,,,,,,,
Gigantic Flame,412,678,,,,,,
Gigantic Hammer,424,,,,,,,
Gigantic Saiyan Lady,737,,,,,,,
Gill Missile,382,,,,,,,
Grand Smasher,340,669,,,,,,
Great Pilaf Operation,708,,,,,,,
Guldo Special,642,,,,,,,
HAIL Frieza,633,,,,,,,
Heat Dome Attack,695,,,,,,,
Hells Flash,320,,,,,,,
Hell's Impact,410,,,,,,,
Hell's Storm,367,,,,,,,
Hellzone Grenade,621,,,,,,,
Here's a present!,469,,,,,,,
Hidden Blade,459,,,,,,,
High Power Rush,356,,,,,,,
High Speed Rush,355,,,,,,,
Hyper Tornado,369,,,,,,,
Hysteric Saiyan Lady,728,,,,,,,
I Might Die This Time.,413,,,,,,,
I'll Shoot You!,505,,,,,,,
Illusion Smash,686,,,,,,,
I'm A Top-class Warrior!,495,,,,,,,
Infinity Bullet,390,,,,,,,
Innocence Rush,496,,,,,,,
Instant Kamehameha,603,,,,,,,
Justice Countdown,447,,,,,,,
Justice Judgment,693,,,,,,,
Justice Rush 2,518,,,,,,,
Justice Slash,429,,,,,,,
Ka-Blam Slicer,419,,,,,,,
Kaio-ken Attack,351,,,,,,,
Kamehameha,300,,,,,,,
Kapa,718,,,,,,,
Ki Blast Cannon,319,,,,,,,
Kill Driver,418,,,,,,,
Launch Missiles!,705,,,,,,,
Life-Risking Blow!,704,,,,,,,
Light Grenade,335,,,,,,,
Lighting Shower Rain,345,,,,,,,
Lightning Arrow,682,,,,,,,
Lightning Sword Slash,747,,,,,,,
Lock-On Buster,420,,,,,,,
Mad Banquet,517,,,,,,,
Maiden's Rage!,687,,,,,,,
Majin Buu Resurrection,751,,,,,,,
Mankoku Kyoutenshou,681,,,,,,,
Masenko,313,465,,,,,,
MAX POWER Kamehameha,604,,,,,,,
Maximum Buster,712,,,,,,,
Maximum Flasher,374,,,,,,,
Meteor Burst,698,,,,,,,
Meteor Combination,482,,,,,,,
Meteor Crash,485,486,,,,,,
Meteor Smash,483,484,,,,,,
Minus Energy Power Ball,671,,,,,,,
Miracle Ka-Blam Slash,697,,,,,,,
Mister Buu Arrives!,740,,,,,,,
Monster Crush,629,,,,,,,
Mystic Combination,453,,,,,,,
Mystic Flasher,741,,,,,,,
Neo Tri-Beam,608,,,,,,,
Nova Strike,436,,,,,,,
Omega Blaster,668,,,,,,,
Orga Blaster,746,,,,,,,
Penetrate!,735,,,,,,,
Perfect Barrier,646,,,,,,,
Perfect Combination,501,,,,,,,
Photon Flash,470,,,,,,,
Photon Strike,478,,,,,,,
Ping!,506,,,,,,,
Planet Burst,670,,,,,,,
Planet Geyser,713,,,,,,,
Playing Pro-Wrestling,731,,,,,,,
Power of Darkness,694,,,,,,,
Present Bomb,354,,,,,,,
Psychic Rock Throw,357,,,,,,,
Pui Pui Nice Shot,511,,,,,,,
Punishing Blaster,370,,,,,,,
Punishing Rush,437,,,,,,,
Purple Comet Attack,733,734,,,,,,
Rapid Cannon,397,,,,,,,
Recoome Eraser Gun,316,,,,,,,
Recoome Fighting Bomber,644,,,,,,,
Recoome Renegade Bomber,398,,,,,,,
Revenge Death Ball,654,,,,,,,
Revenge Death Ball Final,655,,,,,,,
Revenge Death Bomber,648,,,,,,,
Rocket Engine Spark!,742,,,,,,,
Rolling Smash,457,,,,,,,
S.S. Deadly Bomber,377,666,,,,,,
S.S. Deadly Hammer,738,,,,,,,
Sadistic 18,638,,,,,,,
Sadistic Dance,745,,,,,,,
Saibaman Bomb,636,,,,,,,
Salza Blade Rush,692,,,,,,,
Save Goku!,750,,,,,,,
Scatter Finger Beam,402,,,,,,,
Self Destruct Device,637,,,,,,,
Shin Gekiretsu Shin'ou'hou,664,,,,,,,
Shining Sword Attack,631,,,,,,,
Shocking Death Ball,620,,,,,,,
Shoot Blaster,378,,,,,,,
Shooting Star Arrow,391,,,,,,,
Shura Gekiretsuken,480,,,,,,,
Silent Assassin 13,428,,,,,,,
Skewer!,499,,,,,,,
Sky Zapper,685,,,,,,,
Solar Kamehameha,716,,,,,,,
Soukidan,679,,,,,,,
Soumasen,455,,,,,,,
Space Mach Attack,448,,,,,,,
Special Beam Cannon,331,724,,,,,,
Spirit Bomb,616,721,722,,,,,
Spirit Breaking Cannon,435,,,,,,,
Stardust Breaker,643,,,,,,,
Stay Away From Me!,514,,,,,,,
Super Dodon Wave,707,,,,,,,
Super Energy Wave Volley,384,385,386,,,,,
Super Explosive Madan,468,,,,,,,
Super Explosive Wave,361,362,363,463,649,650,651,652
Super Galick Gun,310,660,,,,,,
Super Ghost Buu Attack,623,,,,,,,
Super Ghost Kamikaze Attack,622,,,,,,,
Super Kamehameha,301,302,519,602,605,719,,
Super Marengeki,736,,,,,,,
Super Masenko,466,,,,,,,
Super Spirit Bomb,744,,,,,,,
Supernova,653,,,,,,,
That Won't Work,515,,,,,,,
The Original Dodon-Pa,364,,,,,,,
The Original Kamehameha,306,,,,,,,
Thunder Flash,659,,,,,,,
Trap Shooter,394,395,,,,,,
Turtle School Four Virtues,444,,,,,,,
Turtle School Tranquility,690,,,,,,,
Turtle School Ultimate Fist,443,,,,,,,
Ultimate Final Plan,656,,,,,,,
Ultimate Impact,422,,,,,,,
Unforgivable!,726,,,,,,,
Videl Rush,657,,,,,,,
Volcano Explosion,512,,,,,,,
Wild Pressure,442,,,,,,,
Wolf Fang Fist,353,,,,,,,
Woohoo!,503,,,,,,,
X 100 Big Bang Kamehameha,601,,,,,,,
x20 Kaiken Kamehameha,462,,,,,,,
Yakon Is Next!,497,,,,,,,
You Hurt Goku!,739,,,,,,,
You Will Die By My Hand!,710,,,,,,,
Your name is Drum,458,,,,,,,
